OBJECTID,FID_NOAA_s,Field1,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,Jdate,Year,Month,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,COUNTY_NAM,FID_WI_Cou,DNR_REGION,DNR_CNTY_C,COUNTY_N_1,COUNTY_FIP,Area_km2,Area_mile2
194,560,2775235,GHCND:US1WISK0005,PRAIRIE DU SAC 5.9 NNW WI US,264.60000000000,43.37100000000,-89.76870000000,8/27/2010,239,2010,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
195,168,1758053,GHCND:USC00479050,WEST BEND WI US,286.50000000000,43.36667000000,-88.08333000000,8/26/1995,238,1995,8,0,0,0,NA,31.70000000000,18.30000000000,23.30000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
196,599,2799402,GHCND:US1WIWS0015,WEST BEND 5.4 SE WI US,272.80000000000,43.37260000000,-88.10090000000,11/25/2015,329,2015,11,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
197,402,2662467,GHCND:USC00477581,SAUKVILLE WWTP WI US,230.10000000000,43.37500000000,-87.94028000000,7/2/2010,183,2010,7,0,0,0,NA,21.70000000000,9.40000000000,14.40000000000,Ozaukee,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
198,142,1467659,GHCND:USC00477869,SOLDIERS GROVE WI US,216.40000000000,43.39430000000,-90.77570000000,9/15/2013,258,2013,9,18.3,0,0,NA,22.20000000000,3.30000000000,0.00000000000,Crawford,12,West Central Region,12,Crawford,23,1550.52553421000,598.66125571300
199,237,2271685,GHCND:USC00476796,POYNETTE 7 WNW WI US,243.50000000000,43.41222000000,-89.53083000000,5/6/2007,126,2007,5,0,0,0,NA,18.30000000000,8.30000000000,9.40000000000,Columbia,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
200,409,2683139,GHCND:USC00479052,WEST BEND PUBLIC WORKS WI US,299.00000000000,43.41050000000,-88.19380000000,12/23/2013,357,2013,12,8.4,279,89,NA,-2.80000000000,-10.00000000000,-8.30000000000,Washington,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
201,595,2798177,GHCND:US1WIWS0010,WEST BEND 1.8 ESE WI US,264.60000000000,43.41340000000,-88.15040000000,4/27/2010,117,2010,4,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
202,597,2799186,GHCND:US1WIWS0013,WEST BEND 0.5 SSE WI US,280.40000000000,43.41680000000,-88.18020000000,7/30/2014,211,2014,7,11.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
203,368,2560836,GHCND:USC00470080,ALLENTON WI US,291.40000000000,43.42278000000,-88.35194000000,2/1/2007,32,2007,2,1.5,178,25,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
204,200,2097707,GHCND:USC00477319,ROCK SPRINGS 3 SW WI US,384.00000000000,43.44500000000,-89.96972000000,3/16/2001,75,2001,3,0,0,0,NA,2.80000000000,-2.20000000000,-1.10000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
205,247,2325647,GHCND:USC00479053,WEST BEND FIRE STATION WI US,273.10000000000,43.43194000000,-88.16056000000,2/4/2003,35,2003,2,2.3,25,18,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
206,596,2798392,GHCND:US1WIWS0011,WEST BEND 1.4 NE WI US,292.90000000000,43.43650000000,-88.16230000000,8/17/2010,229,2010,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
207,126,1289580,GHCND:USC00477015,READSTOWN WI US,225.60000000000,43.44940000000,-90.76500000000,8/22/2012,235,2012,8,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
208,454,2716624,GHCND:US1WIDD0004,BEAVER DAM 1.4 SSW WI US,265.50000000000,43.44720000000,-88.85260000000,6/14/2013,165,2013,6,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
209,16,161780,GHCND:USC00470645,BEAVER DAM WI US,256.00000000000,43.45000000000,-88.85000000000,6/18/1983,169,1983,6,0,0,0,NA,24.40000000000,13.90000000000,22.20000000000,Dodge,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
210,71,719259,GHCND:USC00473756,HORICON WI US,268.20000000000,43.45000000000,-88.63333000000,12/20/1992,355,1992,12,0,0,0,NA,-4.40000000000,-16.10000000000,-6.70000000000,Dodge,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
211,366,2557444,GHCND:US1WIWS0008,WEST BEND 1.5 N WI US,283.50000000000,43.44450000000,-88.18140000000,11/17/2008,322,2008,11,19.1,20,20,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
212,335,2506400,GHCND:US1WISK0002,ROCK SPRINGS 2.8 WSW WI US,341.10000000000,43.45900000000,-89.96540000000,10/26/2012,300,2012,10,10.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
213,519,2749648,GHCND:US1WIOZ0009,PORT WASHINGTON 4.2 NE WI US,211.20000000000,43.43890000000,-87.82500000000,2/23/2015,54,2015,2,0,51,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
214,206,2123567,GHCND:US1WIDD0003,HORICON 2.1 ENE WI US,306.90000000000,43.45140000000,-88.59560000000,6/17/1998,168,1998,6,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
215,13,138745,GHCND:USC00470516,BARABOO WI US,250.90000000000,43.46667000000,-89.73333000000,9/13/1992,257,1992,9,0,0,0,NA,22.80000000000,13.90000000000,16.70000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
216,602,2799879,GHCND:USC00470519,BARABOO RIVER WI US,261.20000000000,43.47080000000,-89.75940000000,11/8/2011,312,2011,11,NA,0,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
217,405,2672234,GHCND:USC00478540,TOWN OF WESTFORD WI US,267.90000000000,43.47190000000,-88.88240000000,10/17/2006,290,2006,10,21.3,0,0,NA,12.20000000000,7.20000000000,8.90000000000,Dodge,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
218,431,2705294,GHCND:US1WICB0005,PORTAGE 7.2 SW WI US,287.40000000000,43.47930000000,-89.57370000000,9/4/2011,247,2011,9,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
219,615,2811748,GHCND:USC00477016,READSTOWN 4 NE WI US,232.30000000000,43.47970000000,-90.69330000000,10/1/2011,274,2011,10,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
220,204,2119276,GHCND:USC00478932,WAUBEKA WI US,262.10000000000,43.48333000000,-87.98333000000,7/1/1993,182,1993,7,NA,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
221,455,2717505,GHCND:US1WIDD0005,THERESA 3.1 SE WI US,307.50000000000,43.49200000000,-88.40170000000,10/12/2015,285,2015,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,16,South Central Region,14,Dodge,27,2348.41224847000,906.72703840000
222,430,2703300,GHCND:US1WICB0004,PORTAGE 5.7 WSW WI US,248.70000000000,43.51410000000,-89.56910000000,7/2/2011,183,2011,7,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
223,120,1229358,GHCND:USC00476718,PORTAGE WI US,243.80000000000,43.51667000000,-89.43333000000,6/15/1991,166,1991,6,54.9,0,0,NA,29.40000000000,18.30000000000,19.40000000000,Columbia,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
224,574,2783119,GHCND:US1WIVR0003,VIOLA 3.5 WNW WI US,244.10000000000,43.52680000000,-90.73850000000,3/18/2014,77,2014,3,0,76,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
225,127,1297718,GHCND:USC00477052,REEDSBURG WI US,275.80000000000,43.53333000000,-90.01667000000,9/15/1981,258,1981,9,0,0,0,NA,21.70000000000,10.00000000000,15.00000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
226,369,2564092,GHCND:USC00470652,BELGIUM WWTP WI US,210.90000000000,43.51360000000,-87.85470000000,5/6/2010,126,2010,5,0,0,0,NA,18.30000000000,6.70000000000,9.40000000000,Ozaukee,15,Southeast Region,46,Ozaukee,89,609.37414880100,235.28067424200
227,364,2552060,GHCND:US1WIWS0004,KEWASKUM 1.8 WNW WI US,321.00000000000,43.52880000000,-88.26570000000,11/17/2010,321,2010,11,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,14,Southeast Region,67,Washington,131,1128.18911634000,435.59625311900
228,573,2782288,GHCND:US1WIVR0002,VIROQUA 0.8 ESE WI US,370.00000000000,43.55300000000,-90.87100000000,8/31/2013,243,2013,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
229,614,2811230,GHCND:USC00476390,PARDEEVILLE 2 NE WI US,246.60000000000,43.55500000000,-89.27220000000,1/7/2015,7,2015,1,0,76,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
230,547,2771315,GHCND:US1WISB0010,RANDOM LAKE 0.5 SSE WI US,271.90000000000,43.54810000000,-87.95050000000,11/4/2013,308,2013,11,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
231,196,2056584,GHCND:USC00474404,LA FARGE WI US,246.90000000000,43.56667000000,-90.63333000000,2/1/1992,32,1992,2,0,25,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
232,161,1676896,GHCND:USC00478827,VIROQUA WI US,361.20000000000,43.56667000000,-90.91667000000,5/29/1984,150,1984,5,0,0,0,NA,18.30000000000,-1.70000000000,15.60000000000,Vernon,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
233,232,2241262,GHCND:USC00474422,LA VALLE WI US,270.70000000000,43.58250000000,-90.11806000000,5/28/2008,149,2008,5,0,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
234,545,2770062,GHCND:US1WISB0005,CEDAR GROVE 0.4 NNE WI US,210.60000000000,43.57160000000,-87.81990000000,10/5/2012,279,2012,10,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
235,175,1834539,GHCND:USC00479319,WISCONSIN DELLS WI US,254.50000000000,43.60889000000,-89.76667000000,5/10/2004,131,2004,5,0,0,0,NA,21.10000000000,10.60000000000,12.80000000000,Columbia,18,South Central Region,11,Columbia,21,2060.37363906000,795.51470954700
236,608,2804699,GHCND:USC00473650,HILLSBORO 2 SW WI US,317.90000000000,43.63410000000,-90.37920000000,11/24/2013,328,2013,11,0,0,0,NA,-8.30000000000,-15.60000000000,-15.00000000000,Vernon,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
237,389,2621555,GHCND:USC00474424,LA VALLE 4 NNE WI US,347.50000000000,43.63910000000,-90.10770000000,9/18/2012,262,2012,9,3.6,NA,NA,NA,18.90000000000,3.90000000000,3.90000000000,Sauk,17,South Central Region,57,Sauk,111,2196.07768314000,847.91033389700
238,609,2805596,GHCND:USC00473651,HILLSBORO 1 SW WI US,301.80000000000,43.64667000000,-90.35250000000,1/11/2012,11,2012,1,0,0,0,NA,11.70000000000,-6.70000000000,-2.20000000000,Vernon,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
239,69,695473,GHCND:USC00473654,HILLSBORO WI US,286.50000000000,43.65000000000,-90.33333000000,3/19/1997,78,1997,3,0,152,0,NA,2.20000000000,-12.20000000000,-8.30000000000,Vernon,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
240,44,438590,GHCND:USC00471970,DALTON WI US,262.10000000000,43.65472000000,-89.19750000000,8/26/1998,238,1998,8,0,0,0,NA,30.60000000000,12.80000000000,28.30000000000,Green Lake,23,Northeast Region,24,Green Lake,47,983.97403418700,379.91449859900
241,228,2222822,GHCND:USC00473661,HINGHAM WI US,237.10000000000,43.64083000000,-87.90500000000,4/22/2006,112,2006,4,1,0,0,NA,20.60000000000,6.10000000000,10.00000000000,Sheboygan,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
242,169,1766361,GHCND:USC00479062,WESTBY 3 ENE WI US,390.10000000000,43.66667000000,-90.80000000000,4/16/1981,106,1981,4,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Vernon,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
243,225,2206721,GHCND:USC00473116,GIBBSVILLE WI US,221.60000000000,43.65610000000,-87.81440000000,5/19/2007,139,2007,5,0,0,0,NA,0.00000000000,8.30000000000,26.10000000000,Sheboygan,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
244,392,2630044,GHCND:USC00475096,MARKESAN WI US,262.40000000000,43.70278000000,-88.99889000000,10/18/2008,292,2008,10,0,0,0,NA,13.30000000000,0.00000000000,0.00000000000,Green Lake,23,Northeast Region,24,Green Lake,47,983.97403418700,379.91449859900
245,111,1139849,GHCND:USC00476280,ONTARIO WI US,268.20000000000,43.71667000000,-90.58333000000,12/28/1991,362,1991,12,0,102,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,19,West Central Region,63,Vernon,123,2113.13937709000,815.88767490300
246,546,2770464,GHCND:US1WISB0006,PLYMOUTH 5.3 WSW WI US,340.80000000000,43.72440000000,-88.07420000000,8/21/2013,233,2013,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
247,375,2579701,GHCND:USC00471605,CITY OF SHEBOYGAN WWTP WI US,185.00000000000,43.71860000000,-87.70880000000,7/7/2014,188,2014,7,1.5,NA,NA,NA,24.40000000000,17.80000000000,24.40000000000,Sheboygan,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
248,334,2506290,GHCND:US1WISB0003,SHEBOYGAN 1.8 S WI US,192.00000000000,43.71920000000,-87.72800000000,8/1/2007,213,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
249,482,2728139,GHCND:US1WIJN0002,MAUSTON 6.7 SW WI US,351.70000000000,43.74250000000,-90.18820000000,6/6/2014,157,2014,6,0.3,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,27,West Central Region,29,Juneau,57,2081.41593104000,803.63918390300
250,119,1216787,GHCND:USC00476678,PLYMOUTH WI US,254.20000000000,43.73250000000,-87.97139000000,1/14/1999,14,1999,1,0.8,NA,30,NA,-10.00000000000,-15.00000000000,-11.10000000000,Sheboygan,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
251,32,324663,GHCND:USC00471280,CASHTON WI US,420.60000000000,43.75000000000,-90.78333000000,10/13/1999,286,1999,10,2.5,0,0,NA,18.30000000000,5.00000000000,7.80000000000,Monroe,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
252,141,1457632,GHCND:USC00477725,SHEBOYGAN WI US,197.50000000000,43.75000000000,-87.71667000000,11/11/1992,316,1992,11,0,0,0,NA,10.60000000000,0.00000000000,6.10000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
253,607,2802509,GHCND:USC00472842,FOND DU LAC 2 SW WI US,242.30000000000,43.76660000000,-88.46690000000,5/26/2013,146,2013,5,0,NA,NA,NA,18.30000000000,4.40000000000,12.20000000000,Fond du Lac,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
254,280,2436535,GHCND:US1WIDL0001,FOND DU LAC 1.0 WSW WI US,234.10000000000,43.76750000000,-88.46440000000,5/29/2011,149,2011,5,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
255,250,2343995,GHCND:USW00004840,FOND DU LAC CO AIRPORT WI US,246.00000000000,43.76944000000,-88.49083000000,8/28/2010,240,2010,8,0,NA,NA,NA,28.90000000000,15.60000000000,0.00000000000,Fond du Lac,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
256,92,925859,GHCND:USC00475178,MAUSTON 1 SE WI US,263.70000000000,43.78333000000,-90.06667000000,6/18/1994,169,1994,6,0,0,0,NA,33.30000000000,20.60000000000,22.80000000000,Juneau,27,West Central Region,29,Juneau,57,2081.41593104000,803.63918390300
257,102,1046754,GHCND:USC00475581,MONTELLO WI US,239.60000000000,43.78333000000,-89.30000000000,6/3/1988,155,1988,6,0,0,0,NA,20.00000000000,4.40000000000,13.90000000000,Marquette,22,Northeast Region,39,Marquette,77,1201.73489488000,463.99243696800
258,604,2799981,GHCND:USC00471287,CASHTON 3 NNW WI US,286.20000000000,43.78600000000,-90.79520000000,11/23/2015,327,2015,11,0,0,0,NA,-1.10000000000,-7.80000000000,-3.30000000000,Monroe,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
259,251,2351049,GHCND:USW00004841,SHEBOYGAN CO MEMORIAL AIRPORT WI US,227.40000000000,43.76944000000,-87.85056000000,7/23/1997,204,1997,7,NA,NA,NA,NA,22.20000000000,12.20000000000,0.00000000000,Sheboygan,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
260,300,2460479,GHCND:US1WILC0007,LA CROSSE 3.0 SSE WI US,203.90000000000,43.78700000000,-91.20900000000,9/7/2007,250,2007,9,10.2,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
261,548,2772091,GHCND:US1WISB0012,SHEBOYGAN 3.2 NW WI US,207.30000000000,43.78470000000,-87.76640000000,4/27/2014,117,2014,4,0.8,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
262,549,2772704,GHCND:US1WISB0014,SHEBOYGAN 2.7 N WI US,195.40000000000,43.78420000000,-87.72300000000,12/25/2015,359,2015,12,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
263,51,511535,GHCND:USC00472507,EL DORADO 1 SSW WI US,271.00000000000,43.80000000000,-88.63333000000,4/30/1981,120,1981,4,0,0,0,NA,17.20000000000,5.00000000000,11.70000000000,Fond du Lac,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
264,55,531919,GHCND:USC00472839,FOND DU LAC WI US,232.00000000000,43.80000000000,-88.45000000000,8/9/1986,221,1986,8,0.8,0,0,NA,27.80000000000,15.00000000000,21.10000000000,Fond du Lac,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
265,305,2466884,GHCND:US1WIMN0004,WILTON 4.2 E WI US,429.20000000000,43.81030000000,-90.44360000000,8/9/2007,221,2007,8,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
266,333,2504963,GHCND:US1WISB0002,SHEBOYGAN 3.0 N WI US,195.10000000000,43.78910000000,-87.73370000000,9/11/2007,254,2007,9,10.2,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,20,Southeast Region,60,Sheboygan,117,1340.39833019000,517.53068865900
267,497,2738431,GHCND:US1WIMN0005,CASHTON 4.8 N WI US,262.70000000000,43.81100000000,-90.76290000000,1/29/2012,29,2012,1,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
268,75,758931,GHCND:USC00474379,LA CROSSE RIVER WI US,192.00000000000,43.81667000000,-91.25000000000,2/23/1986,54,1986,2,0.5,305,10,NA,0.00000000000,0.00000000000,0.00000000000,La Crosse,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
269,475,2726264,GHCND:US1WIGL0002,PRINCETON 3.4 SE WI US,290.80000000000,43.82070000000,-89.07660000000,6/26/2015,177,2015,6,0.3,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,23,Northeast Region,24,Green Lake,47,983.97403418700,379.91449859900
270,231,2235418,GHCND:USC00474373,LA CROSSE WEATHER FORECAST OFFICE WI US,398.40000000000,43.82250000000,-91.19150000000,3/3/2013,62,2013,3,0,127,0,NA,1.10000000000,-11.10000000000,-5.00000000000,La Crosse,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
271,457,2718438,GHCND:US1WIDL0005,MOUNT CALVARY 1.6 WSW WI US,289.00000000000,43.81700000000,-88.27590000000,5/7/2014,127,2014,5,16.3,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
272,235,2263132,GHCND:USC00476360,OXFORD 6 N WI US,290.20000000000,43.86194000000,-89.56194000000,5/30/2004,151,2004,5,8.1,0,0,NA,14.40000000000,6.70000000000,6.70000000000,Marquette,22,Northeast Region,39,Marquette,77,1201.73489488000,463.99243696800
273,230,2229213,GHCND:USC00474366,LA CROSSE 4 NNW WI US,201.20000000000,43.86694000000,-91.27250000000,7/11/2008,193,2008,7,33.3,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
274,182,1922863,GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,198.70000000000,43.87880000000,-91.25270000000,3/9/2012,69,2012,3,0,0,0,NA,2.20000000000,-6.70000000000,0.00000000000,La Crosse,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
275,135,1388225,GHCND:USC00477209,RIPON 5 NE WI US,283.50000000000,43.88889000000,-88.74472000000,10/8/1999,281,1999,10,0.3,0,0,NA,0.00000000000,0.00000000000,0.00000000000,Fond du Lac,21,Northeast Region,20,Fond du Lac,39,1982.40053397000,765.40912536100
276,297,2458409,GHCND:US1WILC0001,WEST SALEM 0.7 W WI US,231.00000000000,43.89820000000,-91.09550000000,3/1/2007,60,2007,3,6.4,457,25,NA,0.00000000000,0.00000000000,0.00000000000,NA,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
277,301,2460588,GHCND:US1WILC0010,ONALASKA 1.6 NW WI US,218.80000000000,43.90400000000,-91.23970000000,11/12/2008,317,2008,11,10.4,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
278,303,2466143,GHCND:US1WIMN0001,SPARTA 2.5 SSE WI US,259.10000000000,43.91220000000,-90.78280000000,3/22/2007,81,2007,3,14.7,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
279,494,2737125,GHCND:US1WIMC0005,ELKHART LAKE 6.8 NE WI US,274.60000000000,43.89940000000,-87.91290000000,1/1/2014,1,2014,1,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,31,Northeast Region,36,Manitowoc,71,1542.43095470000,595.53592109000
280,145,1489443,GHCND:USC00477997,SPARTA WI US,238.40000000000,43.93650000000,-90.81630000000,10/9/2006,282,2006,10,0,0,0,NA,22.80000000000,10.00000000000,10.60000000000,Monroe,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
281,357,2536735,GHCND:US1WIWN0002,OSHKOSH 5.6 S WI US,242.00000000000,43.93750000000,-88.54250000000,3/2/2007,61,2007,3,14,NA,51,NA,0.00000000000,0.00000000000,0.00000000000,NA,29,Northeast Region,71,Winnebago,139,1498.76265264000,578.67549540400
282,259,2404951,GHCND:US1WIAD0002,ADAMS 0.4 E WI US,294.40000000000,43.95440000000,-89.80960000000,5/1/2008,122,2008,5,7.6,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,28,West Central Region,1,Adams,1,1781.41852722000,687.80953871700
283,304,2466436,GHCND:US1WIMN0003,SPARTA 0.8 NNE WI US,256.00000000000,43.95400000000,-90.80480000000,11/2/2006,306,2006,11,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
284,621,2820482,GHCND:USC00478515,TOMAH RANGER STATION 2 WI US,296.30000000000,43.97130000000,-90.46790000000,7/13/2015,194,2015,7,25.9,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,25,West Central Region,42,Monroe,81,2350.92732333000,907.69811423400
285,222,2185905,GHCND:USC00472973,FRIENDSHIP WI US,288.00000000000,43.97500000000,-89.83090000000,5/10/2009,130,2009,5,1.5,0,0,NA,11.10000000000,2.20000000000,7.80000000000,Adams,28,West Central Region,1,Adams,1,1781.41852722000,687.80953871700
286,489,2733971,GHCND:US1WILC0011,HOLMEN 0.9 N WI US,243.80000000000,43.97050000000,-91.25940000000,1/11/2010,11,2010,1,0,NA,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,24,West Central Region,32,La Crosse,63,1242.35944051000,479.67766172700
287,474,2725373,GHCND:US1WIGL0001,BERLIN 0.4 NNE WI US,235.60000000000,43.97570000000,-88.94760000000,7/26/2010,207,2010,7,0,0,0,NA,0.00000000000,0.00000000000,0.00000000000,NA,23,Northeast Region,24,Green Lake,47,983.97403418700,379.91449859900
288,481,2727760,GHCND:US1WIJN0001,NECEDAH 5.0 ESE WI US,274.90000000000,43.98710000000,-89.98580000000,4/22/2015,112,2015,4,0.5,NA,NA,NA,0.00000000000,0.00000000000,0.00000000000,NA,27,West Central Region,29,Juneau,57,2081.41593104000,803.63918390300
289,254,2371199,GHCND:USW00094855,OSHKOSH WITTMAN REGIONAL AIRPORT WI US,238.40000000000,43.98444000000,-88.55694000000,2/3/2005,34,2005,2,0,NA,NA,0.6,5.60000000000,-5.00000000000,0.00000000000,Winnebago,29,Northeast Region,71,Winnebago,139,1498.76265264000,578.67549540400
290,370,2566336,GHCND:USC00470742,BERLIN WWTP WI US,233.50000000000,43.99000000000,-88.94110000000,2/1/2008,32,2008,2,0,254,0,NA,-2.20000000000,-8.90000000000,-3.90000000000,Waushara,26,Northeast Region,70,Waushara,137,1649.67704935000,636.94386973600
291,104,1064517,GHCND:USC00475786,NECEDAH 2 SE WI US,275.80000000000,43.99680000000,-90.03520000000,2/9/2005,40,2005,2,2.3,51,23,NA,-3.90000000000,-8.90000000000,-5.00000000000,Juneau,27,West Central Region,29,Juneau,57,2081.41593104000,803.63918390300
